connectors/id,connectors/name,connectors/image_url,connectors/extra/explanation,connectors/extra/has_multiple_type,connectors/extra/color_scheme,companies/id,companies/name,companies/image_url,stationTypes/id,stationTypes/name,stationTypes/image_url,availableList/id,availableList/name,priceTypes/id,priceTypes/name,priceConditions/id,priceConditions/name,priceConditions/description,currencies/id,currencies/name
2,CCS,https://2chargers.net/uploads/connectors/Ccs.png,Неопределенно CCS1 или CCS2,false,#FE6E00,45,ЭЗС СК,https://2chargers.net/uploads/companies/2022-11-10/04f40ebf-a0cf-4edb-9204-0c43fd53c99b.png,0,Публичные,assets/icons/stations/public_station.png,0,Работает,per_kwt,За кВт,BUY_PARKING,Если пользователь оплатил парковку,для гостей отеля,1,Русский рубль
37,CCS 2,https://2chargers.net/uploads/connectors/Ccs2.png,Точно — Европейский CCS/SAE Combo 2,false,#FE6E00,44,EV Georgia,https://2chargers.net/uploads/companies/2022-08-23/2a810ba3-63f9-462f-9f0a-2381a5a2cc22.png,1,Домашние,assets/icons/stations/home_station.png,1,Не работает,per_time,За время,HOTEL_GUEST,Если пользователь постоялец отеля,для гостей отеля,2,Белорусский рубль
38,CCS 1,https://2chargers.net/uploads/connectors/Ccs1.png,Точно — Американский CCS/SAE Combo 1,false,#FE6E00,42,РСК Сети,https://2chargers.net/uploads/companies/2022-09-16/5493007e-0afa-4fd6-be50-fa70578dfd5c.png,,,,2,На ремонте,one_time_payment,Разовая оплата,WHILE_TESTING,Станция тестируется,станция в режиме тестирования,3,Грузинский лари
3,CHAdeMO,https://2chargers.net/uploads/connectors/Chademo.png,"Любой, первой или второй ревизии",false,#FE6E00,41,РусГидро,https://2chargers.net/uploads/companies/2022-09-16/90963ba5-284d-4baf-91a8-15a519677ce0.png,,,,3,Скоро открытие,free,Бесплатно,,,,,
39,Tesla Supercharger Type 2,https://2chargers.net/uploads/connectors/TeslaFast.EU.Type2.png,EU: с разъемом как Type 2 (есть в Сколково),false,#FE6E00,40,EV-Time,https://2chargers.net/uploads/companies/2022-09-01/027e28b8-e0c2-4bfc-be75-e03527e72d2b.png,,,,,,,,,,,,
41,Tesla Supercharger US,https://2chargers.net/uploads/connectors/TeslaFast.US.png,US: под американский разъем (есть в Сколково),false,#FE6E00,39,EV Russia,https://2chargers.net/uploads/companies/2022-08-23/2a810ba3-63f9-462f-9f0a-2381a5a2cc22.png,,,,,,,,,,,,
40,Tesla Supercharger CCS 2,https://2chargers.net/uploads/connectors/TeslaFast.EU.CCS2.png,EU: с разъемом CCS 2,false,#FE6E00,38,СУЭНКО.electrocar,https://2chargers.net/uploads/companies/2022-08-12/80e0221a-f9ba-431e-8980-82dbbd288389.png,,,,,,,,,,,,
1,Tesla Supercharger (unsorted),https://2chargers.net/uploads/connectors/TeslaFast.png,Не рассортированные разъемы Supercharger. Это один из: Type 2 / CCS / US / GB/T,false,#FE6E00,37,VoltFuel,https://2chargers.net/uploads/companies/2022-08-03/7d1f10b5-fe94-474e-ab05-bb976c64afd0.png,,,,,,,,,,,,
50,Type1/Type2(Multi),https://2chargers.net/uploads/connectors/multi.type2.type1.png,,true,#03C03C,36,Rostok,https://2chargers.net/uploads/companies/2022-08-03/34271e70-0ef5-47e7-b219-8e405a47040d.png,,,,,,,,,,,,
7,Type 2,https://2chargers.net/uploads/connectors/Type2.png,"Разъём переменного тока, розетка или кабель",true,#03C03C,35,ELECTROCARS,https://2chargers.net/uploads/companies/2022-08-03/8521b571-9ee4-44e4-add4-ca3925d97dad.png,,,,,,,,,,,,
4,Type 1,https://2chargers.net/uploads/connectors/J1772.png,"Он же, J-1772",false,#03C03C,34,Volt,https://2chargers.net/uploads/companies/2022-08-03/394a49a8-69db-4c7b-a589-74639765501e.png,,,,,,,,,,,,
17,Розетка RU/Euro,https://2chargers.net/uploads/connectors/WallEuro.png,"Обычная розетка 230V под 16А, часто упоминаемая как ""Евро"" или ""Шуко"" (Schuko)",false,#005B96,32,RosSeti,https://2chargers.net/uploads/companies/2022-08-03/c39c1785-bac7-43f6-aff5-8b80b9cf5328.png,,,,,,,,,,,,
42,Tesla EU (только для Tesla),https://2chargers.net/uploads/connectors/Tesla.EU.png,"EU: Европейский разъем Type 2 AC, настроенный заряжать ТОЛЬКО Теслы",false,#03C03C,31,DriveEnergy,https://2chargers.net/uploads/companies/2022-08-03/0db57e4b-4921-4fd3-8c90-513c398e6a08.png,,,,,,,,,,,,
5,Tesla US,https://2chargers.net/uploads/connectors/Tesla.png,US: Американский медленный Wall/Mobile Charger,false,#03C03C,30,PortalEnergy,https://2chargers.net/uploads/companies/2022-08-03/006780ff-5741-4469-ac44-f2818e1e6c56.png,,,,,,,,,,,,
13,GB/T DC,https://2chargers.net/uploads/connectors/Gbt2.png,Китайский ГОСТовый быстрый разъем,false,#FE6E00,29,DriveCharge,,,,,,,,,,,,,
12,GB/T AC,https://2chargers.net/uploads/connectors/Gbt.png,Китайский ГОСТовый медленный разъем. Внешне похож на Type 2,false,#03C03C,28,MosEnergoSbyt,https://2chargers.net/uploads/companies/2022-08-03/1dadd8c2-8dcd-458d-8d15-0e16efbb1fbf.png,,,,,,,,,,,,
9,Неизвестная красная (на три фазы),https://2chargers.net/uploads/connectors/ThreePhase.Unknown.png,Пока не рассортированные промышленные разъемы на три фазы,false,#005B96,27,Пункт Е,https://2chargers.net/uploads/companies/2022-09-19/cde4dfbc-b302-4dc3-9544-50b69b168193.jpg,,,,,,,,,,,,
23,"Красная, 5-pin 32А",https://2chargers.net/uploads/connectors/ThreePhase.5pin.all.png,"CEE-розетка ""-6h"" под три фазы",false,#005B96,26,Soh100,https://2chargers.net/uploads/companies/2022-08-03/b0a4e0ac-5fd0-4aaf-b26b-3924078ad871.jpg,,,,,,,,,,,,
24,"Красная, 5-pin 16А",https://2chargers.net/uploads/connectors/ThreePhase.5pin.all.png,"CEE-розетка ""-6h"" под три фазы",false,#005B96,25,My.eCars,https://2chargers.net/uploads/companies/2022-08-03/dee0d01d-f7ab-4716-8b4b-cf1d102a2147.png,,,,,,,,,,,,
25,"Красная, 4-pin 32А",https://2chargers.net/uploads/connectors/ThreePhase.4pin.all.png,"Редкая CEE-розетка с четырьмя штырьками ""-6h"" под три фазы",false,#005B96,24,Sitronics,https://2chargers.net/uploads/companies/2022-08-03/3ed6cc99-8a36-4b65-9d91-109d1f5255a8.png,,,,,,,,,,,,
26,"Красная, 4-pin 16А",https://2chargers.net/uploads/connectors/ThreePhase.4pin.all.png,"Редкая CEE-розетка с четырьмя штырьками ""-6h"" под три фазы",false,#005B96,23,YouCharge,https://2chargers.net/uploads/companies/2022-08-03/5e2e81a7-accb-483b-8595-cb3daecedc15.png,,,,,,,,,,,,
14,NEMA 14-50,https://2chargers.net/uploads/connectors/NEMA1450.png,"Американская бытовая силовая, до 50А",false,#005B96,22,Electro.Cars,https://2chargers.net/uploads/companies/2022-08-03/c5c24c2d-5725-4a3d-9d24-2c4141902724.png,,,,,,,,,,,,
11,"Синяя, 32A",https://2chargers.net/uploads/connectors/BlueCommando.png,"Промышленная розетка Commando Mains Socket, CEE 3-pin",false,#005B96,21,UnitCharge,https://2chargers.net/uploads/companies/2022-08-03/a29064d9-5dc3-4ff0-aa28-4cee24ef2144.png,,,,,,,,,,,,
10,"Синяя, 16A",https://2chargers.net/uploads/connectors/CaravanMainsSocket.png,"Промышленная розетка Caravan Mains Socket, CEE 3-pin",false,#005B96,19,E-way,https://2chargers.net/uploads/companies/2022-08-03/4592f11c-0bca-42e2-88ca-4d13e261cf05.png,,,,,,,,,,,,
49,Советский РШ30 УХЛ4,https://2chargers.net/uploads/connectors/Industrial.SU.RSh30.png,"Разъем электроплиты 3 фазы: РШ30, РА32 или ""УХЛ4"" 25А/32А",false,#005B96,18,Fora,https://2chargers.net/uploads/companies/2022-08-03/250b8cb7-5970-4eee-bc3e-873bea66f132.png,,,,,,,,,,,,
30,Промышленный разъем,https://2chargers.net/uploads/connectors/Industrial.SU.Other.png,"Разъем электроплиты 3 фазы: РШ30, РА32 или ""УХЛ4"" 25А/32А",false,#005B96,17,Touch,https://2chargers.net/uploads/companies/2022-08-03/4490cebb-a220-4038-a7c2-b78740436fca.png,,,,,,,,,,,,
44,Прочий промышленный разъем,https://2chargers.net/uploads/connectors/Industrial.WW.Other.png,,false,#005B96,16,Rushydro,https://2chargers.net/uploads/companies/2022-08-03/4e907e42-01cd-475f-ba46-2c28ad819c75.jpg,,,,,,,,,,,,
8,Type 3,https://2chargers.net/uploads/connectors/Type3.png,"IT/FR, Крайне редкие 1-/3- фазные разъемы семейства Scame.",false,#03C03C,13,Malanka,https://2chargers.net/uploads/companies/2022-08-03/06ad3d6a-720d-4e22-90c5-67057d941418.png,,,,,,,,,,,,
19,Type 3A,https://2chargers.net/uploads/connectors/Type3A.png,"IT/FR, 1 фаза, 16А. 4 контакта, крайне редкий",false,#03C03C,12,PlugMe,https://2chargers.net/uploads/companies/2022-08-03/38303f22-e514-4a0e-9bec-0c244c76e6e7.png,,,,,,,,,,,,
29,Type 3C,https://2chargers.net/uploads/connectors/Type3.png,"IT/FR, 3 фазы 32А, 7 контактов, крайне редкий",false,#03C03C,11,MOJeSK-EV(ROSSETI),,,,,,,,,,,,,
6,Tesla Roadster (Gen. I),https://2chargers.net/uploads/connectors/TeslaRoadster.png,Пропиетарный разъем Roadster первого поколения,false,#03C03C,10,VoltForDrive,https://2chargers.net/uploads/companies/2022-08-03/a9faa265-d7e5-4965-a739-637ad944a007.png,,,,,,,,,,,,
33,5-pin 63А,https://2chargers.net/uploads/connectors/ThreePhase.4pin.ExtremePowered.png,"Красная гигантская, три фазы, 5 пинов + ""пилотный"" контакт в центре",false,#005B96,8,Энергия Москвы,https://2chargers.net/uploads/companies/2022-08-24/f58713ea-0c3c-4021-8afc-97bad5d2f5d7.png,,,,,,,,,,,,
34,5-pin 125А,https://2chargers.net/uploads/connectors/ThreePhase.4pin.ExtremePowered.png,"Красная гигантская, три фазы, 5 пинов + ""пилотный"" контакт в центре",false,#005B96,7,LightSpeedCharge,https://2chargers.net/uploads/companies/2022-08-03/e2ae17ef-9605-4940-80ee-443af74c6b6f.png,,,,,,,,,,,,
31,4-pin 63А ,https://2chargers.net/uploads/connectors/ThreePhase.5pin.ExtremePowered.png,"Красная гигантская, три фазы, 4 пинов + ""пилотный"" контакт в центре",false,#005B96,6,NonStopPower,https://2chargers.net/uploads/companies/2022-08-03/2594e0ef-5b73-4f19-85d8-db7a44c76bdb.png,,,,,,,,,,,,
32,4-pin 125А,https://2chargers.net/uploads/connectors/ThreePhase.5pin.ExtremePowered.png,"Красная гигантская, три фазы, 4 пинов + ""пилотный"" контакт в центре",false,#005B96,5,ChargeNet,https://2chargers.net/uploads/companies/2022-08-03/6e43bc61-39cc-4ad7-8e1a-9b51cffd6514.png,,,,,,,,,,,,
35,3-pin 63А,https://2chargers.net/uploads/connectors/SinglePhase.3pin.ExtremePowered.png,"Синяя гигантская, одна фаза, 4 контакта: 3 пина основных + ""пилотный"" контакт на общем кольце контактов",false,#005B96,4,МГТС(Sitronics),https://2chargers.net/uploads/companies/2022-08-24/578af661-06ce-4c69-8812-c7b5399bc5e3.png,,,,,,,,,,,,
15,Розетка US/JP,https://2chargers.net/uploads/connectors/WallOutlet.US.png,"US/JP: ""домашние"" семейства NEMA 5 и совместимые",false,#005B96,3,ZEVS,https://2chargers.net/uploads/companies/2022-08-03/5a17045f-58de-4e63-835d-c898e3b3daea.png,,,,,,,,,,,,
43,Розетка CN,https://2chargers.net/uploads/connectors/WallOutlet.CN.png,Китайская розетка,false,#005B96,2,ItCharge,https://2chargers.net/uploads/companies/2022-08-03/a9c171ce-72ae-4d8f-88b7-e101e91c1214.png,,,,,,,,,,,,
16,Розетка UK,https://2chargers.net/uploads/connectors/WallOutlet.UK.BS1363.png,BS1363: Британия / сателлиты,false,#005B96,1,Electrifly,https://2chargers.net/uploads/companies/2022-07-28/e19590fc-67d3-4d8f-adbe-12a9964fe6f1.png,,,,,,,,,,,,
18,Розетка AU/NZ,https://2chargers.net/uploads/connectors/WallOutlet.AU.NZ.3112.png,"3112: Австралия, Новая Зеландия, Аргентина, т.п.",false,#005B96,,,,,,,,,,,,,,,
36,Прочие бытовые розетки,https://2chargers.net/uploads/connectors/WallOutlet.WW.Other.png,"Прочие бытовые розетки, не перечисленные в перечне",false,#005B96,,,,,,,,,,,,,,,
28,"Подключение к щитку (1 фаза, 230V)",https://2chargers.net/uploads/connectors/OwnWires.1Phase.png,Подключение к 230V со своими проводами,false,#005B96,,,,,,,,,,,,,,,
27,"Подключение к щитку (3 фазы, 400V)",https://2chargers.net/uploads/connectors/OwnWires.3Phase.png,Подключение к трем фазам со своими проводами,false,#005B96,,,,,,,,,,,,,,,
